EDJ-MED-c8e7a002-11_1 EDJ-MED-50fe53e8-3_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-50fe53e8-3_1 EDJ-MED-c8e7a002-11_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-11_1 EDJ-MED-c8e7a002-9_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-9_1 EDJ-MED-c8e7a002-11_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-11_1 EDJ-MED-c8e7a002-2_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-2_1 EDJ-MED-c8e7a002-11_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-11_1 EDJ-MED-c8e7a002-14_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-14_1 EDJ-MED-c8e7a002-11_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-3_1 EDJ-MED-c8e7a002-1_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-1_1 EDJ-MED-c8e7a002-3_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-3_1 EDJ-MED-c8e7a002-14_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-14_1 EDJ-MED-c8e7a002-3_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-1_1 EDJ-MED-c8e7a002-14_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-14_1 EDJ-MED-c8e7a002-1_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-13_1 EDJ-MED-c8e7a002-5_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-5_1 EDJ-MED-c8e7a002-13_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-13_1 EDJ-MED-c8e7a002-14_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-14_1 EDJ-MED-c8e7a002-13_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-50fe53e8-3_1 EDJ-MED-c8e7a002-14_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-14_1 EDJ-MED-50fe53e8-3_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-5_1 EDJ-MED-c8e7a002-10_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-10_1 EDJ-MED-c8e7a002-5_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-9_1 EDJ-MED-c8e7a002-14_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
EDJ-MED-c8e7a002-14_1 EDJ-MED-c8e7a002-9_1 9 0.0000,0.1250,0.2500,0.3750,0.5000,0.6250,0.7500,0.8750,1.0000 SOMD
